name	AMCSD_code
Diopside	1366
Diopside	1367
Diopside	1368
Diopside	1369
Jadeite	1370
Jadeite	1371
Fluorapatite	1372
Fluorapatite	1373
Fluorapatite	1374
Hydroxylapatite	1375
Apatite-(CaOH)	1376
Apatite-(CaF)	1377
Apatite-(CaF)	1378
Apatite-(CaF)	1379
Biotite	1380
Biotite	1381
Biotite	1382
Biotite	1383
Biotite	1384
Biotite	1385
Biotite	1386
Biotite	1387
Yuanfuliite	1388
Yuanfuliite	1389
Yuanfuliite	1390
Yuanfuliite	1391
Yuanfuliite	1392
Yuanfuliite	1393
Yuanfuliite	1394
Kentrolite	1395
Luneburgite	1396
Langbanite	1397
Spinel	1398
Spinel	1399
Spinel	1400
Spinel	1401
Spinel	1402
Spinel	1403
Spinel	1404
Spinel	1405
Spinel	1406
Spinel	1407
Spinel	1408
Spinel	1409
Spinel	1410
Spinel	1411
Ashburtonite	1412
Cianciulliite	1413
Kornerupine	1414
Milarite	1415
Milarite	1416
Milarite	1417
Milarite	1418
Milarite	1419
Milarite	1420
Fluorapatite	1421
Fluorapatite	1422
Fluorapatite	1423
Fluorapatite	1424
Apatite-(CaF)	1425
Apatite-(CaF)	1426
Apatite-(CaF)	1427
Apatite-(CaF)	1428
Clinoptilolite-Na	1429
Clinoptilolite-Na	1430
Clinoptilolite-Na	1431
Clinoptilolite-Na	1432
Clinoptilolite-Na	1433
[Mg(H2O)6]CsCl3	1434
Columbite-(Fe)	1435
Columbite-(Fe)	1436
Beusite	1437
Pitiglianoite	1438
Reedmergnerite	1439
Reedmergnerite	1440
Reedmergnerite	1441
Garronite	1442
Garronite	1443
Capgaronnite	1444
Phase-B-anhydrous	1445
Sillimanite	1446
Garnet	1447
Cordierite	1448
Ankerite	1449
Ankerite	1450
Ankerite	1451
Ankerite	1452
Dolomite	1453
Dolomite	1454
Dolomite	1455
Dolomite	1456
Dolomite	1457
Armenite	1458
Spinelloid	1459
Pyrope	1460
Pyrope	1461
Pyrope	1462
Almandine	1463
Almandine	1464
Pyrope	1465
Pyrope	1466
Pyrope	1467
Almandine	1468
Almandine	1469
Spinel	1470
Spinel	1471
Spinel	1472
Spinel	1473
Spinel	1474
Spinel	1475
Spinel	1476
Spinel	1477
Spinel	1478
Spinel	1479
Spinel	1480
Spinel	1481
Spinel	1482
Phase-B-superhydrous	1483
Magnesioferrite	1484
Magnesioferrite	1485
Magnesioferrite	1486
Magnesioferrite	1487
Magnesioferrite	1488
Magnesioferrite	1489
Magnesioferrite	1490
Magnesioferrite	1491
Magnesioferrite	1492
Magnesioferrite	1493
Magnesioferrite	1494
Magnesioferrite	1495
Magnesioferrite	1496
